,mean_2d_error,std_2d_error,max_2d_error,mean_3d_error,std_3d_error,max_3d_error,mean_velocity_error,mean_hdop,mean_vdop,tcas_availability,sns_availability
С TCAS,68.4,7.45,89.7,110.18,43.85,218.77,0.31,1.5,2.0,100.0,70.0
Без TCAS,83684.25,74801.95,250276.11,83684.28,74801.95,250276.14,417.36,1.5,2.0,0.0,0.0
Нормальные условия,70.36,6.99,94.52,96.99,33.4,186.94,0.29,1.5,2.0,100.0,100.0
Плотный трафик,68.88,6.45,88.36,107.83,41.74,210.0,0.31,1.5,2.0,100.0,70.0
Без КЭОИ,70.99,7.6,91.75,99.61,34.95,192.46,0.31,1.5,2.0,100.0,70.0
